Date,Open,High,Low,Close,Adj Close,Volume
2021-01-19,13935.929688,13940.049805,13804.459961,13815.059570,13815.059570,64904200
2021-01-20,13848.769531,13952.200195,13835.990234,13921.370117,13921.370117,65212300
2021-01-21,13997.780273,14026.349609,13878.839844,13906.669922,13906.669922,63248900
2021-01-22,13858.049805,13897.730469,13744.259766,13873.969727,13873.969727,74565500
2021-01-25,13943.959961,13946.849609,13599.780273,13643.950195,13643.950195,77572000
2021-01-26,13687.389648,13925.730469,13670.230469,13870.990234,13870.990234,79514500
2021-01-27,13827.469727,13851.839844,13475.030273,13620.459961,13620.459961,105224500
2021-01-28,13500.639648,13698.540039,13310.950195,13665.929688,13665.929688,90778400
2021-01-29,13474.200195,13593.030273,13403.740234,13432.870117,13432.870117,103416500
2021-02-01,13559.940430,13648.049805,13518.450195,13622.019531,13622.019531,65321300
2021-02-02,13724.120117,13844.940430,13693.929688,13835.160156,13835.160156,78714700
2021-02-03,13986.719727,13988.150391,13866.389648,13933.629883,13933.629883,82152900
2021-02-04,13971.940430,14069.889648,13955.700195,14060.290039,14060.290039,83865200
2021-02-05,14061.690430,14114.440430,14013.129883,14056.719727,14056.719727,76254800
2021-02-08,14156.839844,14169.490234,14056.549805,14059.910156,14059.910156,61532900
2021-02-09,14055.599609,14061.610352,13962.139648,14011.799805,14011.799805,58414500
2021-02-10,14063.120117,14063.120117,13830.120117,13932.969727,13932.969727,67411900
2021-02-11,13958.389648,14053.059570,13916.629883,14040.910156,14040.910156,53851500
2021-02-12,13976.129883,14050.959961,13916.730469,14049.889648,14049.889648,57699700
2021-02-15,14109.070313,14131.209961,14074.250000,14109.480469,14109.480469,49898700
2021-02-16,14105.129883,14130.740234,14049.980469,14064.599609,14064.599609,58655000
2021-02-17,14028.099609,14036.950195,13894.059570,13909.269531,13909.269531,81266800
2021-02-18,13926.839844,13961.049805,13853.769531,13886.929688,13886.929688,67920700
2021-02-19,13941.400391,14026.179688,13892.719727,13993.230469,13993.230469,72974000
2021-02-22,13858.559570,13975.080078,13802.549805,13950.040039,13950.040039,66035300
2021-02-23,13984.980469,13989.240234,13664.709961,13864.809570,13864.809570,88194700
2021-02-24,13855.849609,13998.299805,13855.849609,13976.000000,13976.000000,68922400
2021-02-25,14045.019531,14051.009766,13879.169922,13879.330078,13879.330078,95431900
2021-02-26,13685.799805,13881.259766,13673.070313,13786.290039,13786.290039,104069400
2021-03-01,13962.429688,14022.019531,13873.830078,14012.820313,14012.820313,69566200
2021-03-02,13962.070313,14101.790039,13961.620117,14039.799805,14039.799805,63307700
2021-03-03,14130.860352,14197.490234,13979.730469,14080.030273,14080.030273,84766900
2021-03-04,14015.440430,14095.809570,13959.269531,14056.339844,14056.339844,84620900
2021-03-05,13958.540039,14068.030273,13868.200195,13920.690430,13920.690430,89791900
2021-03-08,14024.570313,14402.919922,13977.129883,14380.910156,14380.910156,109071900
2021-03-09,14345.509766,14475.650391,14309.349609,14437.940430,14437.940430,107881800
2021-03-10,14439.450195,14560.969727,14408.519531,14540.250000,14540.250000,95715700
2021-03-11,14553.540039,14595.019531,14515.070313,14569.389648,14569.389648,74066400
2021-03-12,14492.450195,14527.419922,14450.719727,14502.389648,14502.389648,69100900
2021-03-15,14504.490234,14572.240234,14409.349609,14461.419922,14461.419922,62766600
2021-03-16,14519.719727,14601.790039,14511.299805,14557.580078,14557.580078,714300
2021-03-17,14565.290039,14601.629883,14539.700195,14596.610352,14596.610352,759600
2021-03-18,14673.719727,14804.009766,14669.950195,14775.519531,14775.519531,104691200
2021-03-19,14697.259766,14747.559570,14563.209961,14621.000000,14621.000000,207441200
2021-03-22,14551.169922,14677.120117,14539.269531,14657.209961,14657.209961,66130200
2021-03-23,14582.070313,14707.370117,14516.219727,14662.019531,14662.019531,73296400
2021-03-24,14543.580078,14619.040039,14523.120117,14610.389648,14610.389648,65084000
2021-03-25,14550.400391,14621.360352,14422.650391,14621.360352,14621.360352,80104500
2021-03-26,14714.589844,14776.320313,14693.940430,14748.940430,14748.940430,67169800
2021-03-29,14809.799805,14845.419922,14756.040039,14817.719727,14817.719727,71106000
2021-03-30,14897.660156,15029.700195,14890.280273,15008.610352,15008.610352,71173400
2021-03-31,14982.120117,15026.490234,14973.589844,15008.339844,15008.339844,76061700
2021-04-01,15053.769531,15110.919922,15032.519531,15107.169922,15107.169922,67886600
2021-04-06,15289.969727,15311.860352,15209.900391,15212.679688,15212.679688,79478900
2021-04-07,15221.230469,15242.730469,15160.280273,15176.360352,15176.360352,59116700
2021-04-08,15236.440430,15247.780273,15144.110352,15202.679688,15202.679688,68862100
2021-04-09,15198.139648,15243.559570,15157.209961,15234.160156,15234.160156,56870100
2021-04-12,15238.849609,15275.330078,15212.240234,15215.000000,15215.000000,53646400
2021-04-13,15244.620117,15281.650391,15184.950195,15234.360352,15234.360352,62443500
2021-04-14,15253.589844,15255.919922,15191.509766,15209.150391,15209.150391,66666600
2021-04-15,15238.629883,15271.690430,15227.629883,15255.330078,15255.330078,61834300
2021-04-16,15277.849609,15473.830078,15274.219727,15459.750000,15459.750000,82758000
2021-04-19,15496.870117,15501.839844,15368.139648,15368.389648,15368.389648,61839400
2021-04-20,15361.150391,15393.129883,15109.540039,15129.509766,15129.509766,76224500
2021-04-21,15179.910156,15210.690430,15071.780273,15195.969727,15195.969727,67077500
2021-04-22,15252.040039,15328.330078,15230.200195,15320.519531,15320.519531,59628300
2021-04-23,15267.759766,15309.089844,15149.349609,15279.620117,15279.620117,57798000
2021-04-26,15297.929688,15325.889648,15237.019531,15296.339844,15296.339844,49117600
2021-04-27,15282.839844,15293.889648,15186.759766,15249.269531,15249.269531,54513000
2021-04-28,15320.400391,15355.280273,15266.610352,15292.179688,15292.179688,79607600
2021-04-29,15326.230469,15329.719727,15085.019531,15154.200195,15154.200195,80110800
2021-04-30,15204.389648,15244.259766,15135.910156,15135.910156,15135.910156,75194700
2021-05-03,15191.790039,15268.559570,15111.299805,15236.469727,15236.469727,48822800
2021-05-04,15259.500000,15260.750000,14845.269531,14856.480469,14856.480469,89422100
2021-05-05,14969.629883,15170.780273,14963.769531,15170.780273,15170.780273,81587200
2021-05-06,15170.769531,15281.400391,15092.769531,15196.740234,15196.740234,77036200
2021-05-07,15348.320313,15406.410156,15290.200195,15399.650391,15399.650391,74562700
2021-05-10,15417.530273,15419.429688,15347.959961,15400.410156,15400.410156,65162200
2021-05-11,15253.320313,15255.889648,15006.730469,15119.750000,15119.750000,80129000
2021-05-12,15144.040039,15226.360352,15058.110352,15150.219727,15150.219727,79302600
2021-05-13,14967.799805,15235.889648,14816.349609,15199.679688,15199.679688,64374900
2021-05-14,15301.740234,15417.240234,15214.679688,15416.639648,15416.639648,69232200
2021-05-17,15432.339844,15482.230469,15353.660156,15396.620117,15396.620117,67787000
2021-05-18,15514.719727,15538.009766,15344.099609,15386.580078,15386.580078,65843300
2021-05-19,15238.820313,15266.530273,14961.269531,15113.559570,15113.559570,75858000
2021-05-20,15207.320313,15370.259766,15102.349609,15370.259766,15370.259766,65602300
2021-05-21,15411.030273,15467.190430,15364.429688,15437.509766,15437.509766,70065600
2021-05-25,15548.290039,15568.599609,15465.089844,15465.089844,15465.089844,92981200
2021-05-26,15520.440430,15541.860352,15407.480469,15450.719727,15450.719727,0
